1000,27.098,2017-11-16 08:36:51
1001,46.254,2017-11-16 08:36:56
1003,21.692,2017-11-16 08:37:02
1002,44.475,2017-11-16 08:37:06
1008,30.837,2017-11-16 08:37:10
1009,47.961,2017-11-16 08:37:15
1011,27.901,2017-11-16 08:37:19
1007,48.365,2017-11-16 08:37:23
1013,39.343,2017-11-16 08:37:27
1006,29.864,2017-11-16 08:37:34
1012,28.113,2017-11-16 08:37:38
1004,39.021,2017-11-16 08:37:42
1010,66.583,2017-11-16 08:37:47
1005,39.880,2017-11-16 08:37:51
234,-1,2017-11-16 08:37:51
123,-1,2017-11-16 08:37:51
